module,operator_class,hub_family,weather_bucket,period_flag,flights_total,cancelled_count,operated_count,severe_delay_count,controllable_cancel_count,controllable_severe_delay_count,late_arriving_severe_delay_count,carrier_delay_minutes_sum,late_aircraft_delay_minutes_sum,cancellation_rate,severe_delay_rate,controllable_cancel_rate,controllable_severe_delay_rate,late_arriving_severe_delay_rate,weather_fragility_rate,baseline_label,excess_cancelled_vs_baseline,excess_controllable_delay_minutes,excess_cascade_delay_minutes,economic_burden_proxy_usd,economic_burden_proxy_usd_per_1000_flights,combined_fragility_score
hub_spoke,PSA_operated,PHL,marginal,baseline,3732,81,3637,444,3,133,238,22877.0,44691.0,0.0217,0.1221,0.0008,0.0366,0.0654,0.1407,aa_system_average,-3.92,-3804.7,1698.4,-214990.16,-57607.23,0.0614
hub_spoke,PSA_operated,PHL,marginal,recent,5136,344,4779,819,45,216,471,47993.0,80756.0,0.067,0.1714,0.0088,0.0452,0.0986,0.2264,aa_system_average,128.92,6964.4,21958.8,2973315.73,578916.61,0.0955
hub_spoke,PSA_operated,PHL,unknown,baseline,715,19,692,46,2,10,32,1976.0,4139.0,0.0266,0.0665,0.0028,0.0145,0.0462,0.0909,aa_system_average,3.27,-1838.6,-794.5,-266447.01,-372653.15,0.0384
hub_spoke,PSA_operated,PHL,unknown,recent,854,41,809,102,9,21,64,4286.0,11291.0,0.048,0.1261,0.0105,0.026,0.0791,0.1674,aa_system_average,8.21,-833.4,2621.0,183831.05,215258.84,0.0698
hub_spoke,Republic_unresolved,CLT,adverse,baseline,241,6,233,41,0,10,13,1685.0,1537.0,0.0249,0.176,0.0,0.0429,0.0558,0.195,aa_system_average,-2.36,112.8,-2060.3,-198420.01,-823319.54,0.0749
hub_spoke,Republic_unresolved,CLT,adverse,recent,337,31,304,51,2,4,17,934.0,2350.0,0.092,0.1678,0.0059,0.0132,0.0559,0.2433,aa_system_average,5.73,-1316.1,-2145.4,-349880.91,-1038222.27,0.0822
hub_spoke,Republic_unresolved,CLT,benign,baseline,4023,49,3970,204,9,104,61,15208.0,8837.0,0.0122,0.0514,0.0022,0.0262,0.0154,0.0629,aa_system_average,13.58,-8490.3,-26789.5,-3578596.9,-889534.4,0.0263
hub_spoke,Republic_unresolved,CLT,benign,recent,5321,94,5223,326,9,157,99,21801.0,14401.0,0.0177,0.0624,0.0017,0.0301,0.019,0.0789,aa_system_average,35.07,-4930.7,-23483.7,-2875399.7,-540387.09,0.0323
hub_spoke,Republic_unresolved,CLT,marginal,baseline,804,14,788,70,3,17,20,2920.0,2982.0,0.0174,0.0888,0.0037,0.0216,0.0254,0.1045,aa_system_average,-8.12,-2789.3,-5817.4,-876245.06,-1089857.03,0.0383
hub_spoke,Republic_unresolved,CLT,marginal,recent,1180,44,1134,114,6,27,42,5357.0,6370.0,0.0373,0.1005,0.0051,0.0238,0.037,0.1339,aa_system_average,5.33,-2711.8,-4471.2,-727884.41,-616851.2,0.0497
hub_spoke,Republic_unresolved,CLT,unknown,baseline,155,1,154,8,0,1,2,131.0,195.0,0.0065,0.0519,0.0,0.0065,0.013,0.0581,aa_system_average,-3.49,-773.4,-1054.9,-186637.14,-1204110.58,0.0195
hub_spoke,Republic_unresolved,CLT,unknown,recent,204,6,197,17,0,4,3,1402.0,332.0,0.0294,0.0863,0.0,0.0203,0.0152,0.1127,aa_system_average,1.54,260.9,-1280.8,-103126.11,-505520.14,0.0378
hub_spoke,Republic_unresolved,DFW,adverse,baseline,6,0,4,2,0,0,1,0.0,297.0,0.0,0.5,0.0,0.0,0.25,0.3333,aa_system_average,-0.49,-36.4,210.5,17540.6,2923433.84,0.1875
hub_spoke,Republic_unresolved,DFW,adverse,recent,5,0,4,1,0,1,1,912.0,50.0,0.0,0.25,0.0,0.25,0.25,0.2,aa_system_average,-0.51,875.9,-20.7,86693.91,17338782.47,0.1875
