source,filename,rows,extracted_at,checksum,params
NOAA_ASOS_IEM,noaa_asos_raw.csv,157192,2026-06-15T22:47:51.278741+00:00,7d8c694998955544,"stations=['KAEX', 'KATL', 'KBTR', 'KDFW', 'KGPT', 'KIAH', 'KLFT', 'KMLU', 'KSHV'],start=2024-01-01,end=2025-12-31"
NOAA_ASOS_IEM,noaa_asos_raw.csv,157192,2026-06-20T22:39:15.152678+00:00,e9153715d77b9d47,"stations=['KAEX', 'KATL', 'KBTR', 'KDFW', 'KGPT', 'KIAH', 'KLFT', 'KMLU', 'KSHV'],start=2024-01-01,end=2025-12-31"
